img_name,img_class,img_bbox,seg_class,seg_obj,bbox_label
2011_005572,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['148', '1', '334', '48'], ['382', '217', '334', '67'], ['226', '162', '280', '73'], ['451', '309', '334', '34'], ['499', '366', '334', '54']]",,,"['person', 'person', 'person', 'person', 'person']"
2008_000078,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['16', '1', '436', '500']]",,,['dog']
2011_005268,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['432', '382', '278', '159'], ['474', '425', '281', '146'], ['500', '454', '272', '129'], ['319', '281', '236', '142'], ['282', '254', '235', '192'], ['366', '329', '278', '197'], ['136', '6', '273', '121'], ['198', '107', '338', '131']]",,,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']"
2009_004263,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[['128', '1', '458', '197'], ['500', '356', '458', '197'], ['373', '293', '298', '211'], ['181', '116', '301', '211'], ['294', '171', '327', '70'], ['369', '120', '427', '291']]",,,"['chair', 'chair', 'chair', 'chair', 'pottedplant', 'diningtable']"
2012_004083,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['371', '55', '375', '112']]",,,['person']
2008_002647,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['102', '72', '252', '272']]",,,['bird']
2008_002787,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['35', '170', '231', '375'], ['58', '26', '206', '325'], ['358', '11', '500', '375'], ['296', '176', '500', '375']]",,,"['bicycle', 'person', 'person', 'bicycle']"
2012_001271,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['480', '161', '321', '48'], ['220', '48', '257', '64']]",,,"['person', 'person']"
2011_004458,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['156', '115', '255', '135'], ['194', '154', '255', '134'], ['56', '28', '217', '144']]",,,"['person', 'person', 'person']"
2009_003204,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[['230', '86', '154', '19']]",,,['tvmonitor']
2008_007988,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[['51', '23', '292', '500']]",,,['chair']
2008_001083,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[['204', '107', '267', '168'], ['21', '138', '204', '333'], ['81', '99', '136', '200'], ['348', '96', '420', '254'], ['262', '99', '364', '309'], ['12', '226', '182', '333'], ['264', '188', '371', '332'], ['361', '156', '401', '291'], ['1', '179', '49', '223'], ['113', '170', '303', '333']]",,,"['person', 'person', 'person', 'person', 'person', 'chair', 'chair', 'chair', 'chair', 'diningtable']"
2008_006611,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[['419', '190', '500', '343'], ['1', '183', '157', '343'], ['167', '185', '346', '343'], ['204', '240', '307', '294'], ['90', '219', '414', '343'], ['1', '109', '205', '343'], ['338', '95', '497', '343'], ['203', '250', '229', '278'], ['25', '88', '114', '142']]",,,"['chair', 'chair', 'chair', 'chair', 'diningtable', 'person', 'person', 'pottedplant', 'pottedplant']"
2011_001395,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['388', '225', '273', '121']]",,,['person']
2009_003266,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['491', '313', '332', '31'], ['317', '152', '332', '55'], ['188', '25', '332', '60'], ['69', '14', '332', '84'], ['484', '453', '147', '98'], ['454', '430', '127', '95'], ['207', '165', '144', '96'], ['344', '256', '148', '64'], ['17', '1', '216', '86']]",,,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']"
2011_005063,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['500', '245', '375', '1']]",,,['person']
2009_002272,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['431', '52', '223', '68']]",,,['aeroplane']
2009_003499,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['430', '234', '328', '207'], ['206', '105', '316', '42'], ['213', '153', '171', '45']]",,,"['dog', 'person', 'person']"
2008_006081,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['67', '58', '292', '457']]",,,['cat']
2012_004067,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['332', '1', '500', '44']]",,,['person']
2009_001909,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['283', '4', '500', '126'], ['40', '1', '289', '252']]",,,"['person', 'person']"
2009_005076,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['395', '257', '305', '158'], ['468', '362', '250', '125']]",,,"['bird', 'bird']"
2012_001604,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['223', '1', '333', '23']]",,,['person']
2008_000132,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[['431', '106', '474', '253'], ['39', '111', '81', '262'], ['1', '255', '500', '375']]",,,"['person', 'person', 'bus']"
2011_001716,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['333', '1', '500', '78']]",,,['cat']
2008_004348,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['20', '79', '500', '235']]",,,['aeroplane']
2008_007521,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[['136', '149', '227', '238']]",,,['train']
2012_002886,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['330', '58', '500', '78']]",,,['person']
2009_004502,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[['415', '51', '292', '106'], ['342', '161', '220', '54']]",,,"['motorbike', 'person']"
2010_000099,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['465', '46', '394', '55']]",,,['cat']
2012_001677,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['386', '324', '242', '153']]",,,['person']
2010_005134,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['500', '72', '429', '10']]",,,['dog']
2011_001679,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['440', '137', '282', '125'], ['153', '100', '274', '158']]",,,"['cow', 'person']"
2009_003528,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['313', '244', '220', '118']]",,,['cat']
2008_008098,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[['1', '105', '500', '306'], ['322', '18', '500', '365'], ['119', '81', '381', '375'], ['93', '37', '209', '110'], ['247', '38', '363', '116'], ['37', '131', '213', '306'], ['275', '141', '420', '316']]",,,"['diningtable', 'person', 'person', 'chair', 'chair', 'chair', 'chair']"
2009_000920,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[['446', '212', '268', '130'], ['189', '1', '272', '128']]",,,"['train', 'train']"
2010_003539,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['448', '81', '487', '24'], ['464', '442', '268', '191']]",,,"['cat', 'bottle']"
2010_006392,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['500', '1', '375', '1']]",,,['person']
2009_000145,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['241', '118', '279', '73'], ['443', '318', '274', '189']]",,,"['person', 'dog']"
2008_006686,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[['20', '35', '476', '282']]",,,['motorbike']
2010_006714,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['491', '30', '375', '31']]",,,['person']
2012_002314,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['500', '190', '440', '94']]",,,['person']
2011_001826,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[['496', '329', '208', '85'], ['377', '158', '264', '168'], ['322', '275', '259', '143'], ['352', '325', '262', '150'], ['185', '167', '188', '140'], ['232', '218', '178', '143'], ['207', '190', '186', '142'], ['65', '53', '186', '147']]",,,"['bus', 'car', 'person', 'person', 'person', 'person', 'person', 'person']"
2011_006740,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['346', '1', '305', '1']]",,,['person']
2009_003655,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['327', '31', '500', '91']]",,,['cat']
2011_001789,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['465', '3', '237', '67']]",,,['aeroplane']
2008_002099,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['457', '95', '488', '188'], ['190', '184', '284', '333'], ['221', '170', '294', '333']]",,,"['person', 'person', 'person']"
2010_001700,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['312', '131', '500', '178']]",,,['cat']
2010_004891,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['373', '101', '222', '106']]",,,['cat']
2008_000636,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['62', '156', '213', '426'], ['62', '14', '257', '426'], ['1', '136', '320', '426']]",,,"['person', 'person', 'sofa']"
2008_006310,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['176', '134', '230', '182'], ['268', '152', '293', '176']]",,,"['car', 'cow']"
2012_001155,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['93', '47', '277', '168']]",,,['person']
2010_004600,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[['329', '152', '500', '299']]",,,['chair']
2010_002409,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['480', '270', '259', '72'], ['156', '1', '216', '65'], ['405', '88', '311', '94']]",,,"['car', 'car', 'car']"
2012_001276,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['132', '54', '218', '61']]",,,['person']
2008_001941,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['96', '1', '500', '363']]",,,['car']
2011_001845,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['499', '409', '188', '70'], ['254', '233', '144', '88'], ['492', '1', '373', '133'], ['208', '46', '375', '153'], ['266', '152', '375', '136'], ['385', '219', '375', '118'], ['461', '238', '375', '87']]",,,"['pottedplant', 'bottle', 'sofa', 'person', 'person', 'person', 'person']"
2011_000370,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['267', '108', '403', '109'], ['273', '105', '256', '60']]",,,"['horse', 'person']"
2010_006295,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['492', '454', '198', '102'], ['248', '220', '195', '131']]",,,"['person', 'person']"
2008_004634,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['235', '81', '367', '294'], ['102', '47', '176', '172']]",,,"['pottedplant', 'pottedplant']"
2010_003002,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[['313', '255', '279', '221'], ['127', '74', '311', '241'], ['56', '1', '332', '263'], ['357', '1', '500', '259'], ['83', '1', '500', '381'], ['375', '207', '500', '271'], ['82', '10', '322', '213']]",,,"['chair', 'chair', 'chair', 'diningtable', 'chair', 'chair', 'chair']"
2009_005299,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['500', '27', '289', '56'], ['500', '1', '375', '1']]",,,"['cat', 'sofa']"
2009_001988,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['474', '21', '299', '120']]",,,['car']
2012_001949,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['178', '126', '322', '177'], ['263', '223', '282', '173'], ['216', '183', '268', '176']]",,,"['person', 'person', 'person']"
2010_002243,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['324', '15', '411', '78']]",,,['cat']
2011_004645,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['338', '48', '402', '37']]",,,['person']
2011_002930,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['488', '34', '195', '15']]",,,['aeroplane']
2008_008279,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['1', '41', '315', '500'], ['405', '82', '451', '194']]",,,"['horse', 'person']"
2008_006085,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['1', '91', '485', '241']]",,,['aeroplane']
2012_000100,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['360', '259', '375', '122'], ['500', '454', '375', '140'], ['188', '101', '357', '120'], ['102', '43', '337', '118']]",,,"['person', 'person', 'person', 'person']"
2008_002662,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['38', '1', '352', '288']]",,,['person']
2009_004782,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['500', '1', '375', '90'], ['256', '1', '366', '219'], ['441', '1', '375', '19']]",,,"['sofa', 'dog', 'person']"
2010_003156,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[['360', '343', '231', '198'], ['447', '425', '234', '193'], ['419', '342', '233', '217']]",,,"['person', 'person', 'boat']"
2012_002155,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['314', '1', '500', '6']]",,,['person']
2011_002443,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[['35', '1', '123', '73'], ['109', '60', '96', '27'], ['284', '252', '131', '97'], ['325', '241', '129', '48'], ['212', '128', '390', '195'], ['270', '246', '56', '34'], ['303', '280', '59', '35'], ['339', '317', '60', '38'], ['335', '313', '96', '50'], ['71', '54', '37', '9'], ['67', '37', '79', '20'], ['153', '131', '81', '34'], ['176', '158', '59', '35']]",,,"['pottedplant', 'pottedplant', 'pottedplant', 'pottedplant', 'person', 'person', 'person', 'person', 'chair', 'person', 'chair', 'chair', 'chair']"
2011_007018,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['228', '41', '344', '128']]",,,['person']
2011_001591,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[['444', '372', '199', '131'], ['392', '375', '186', '163']]",,,"['boat', 'person']"
2008_002842,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['76', '1', '367', '500'], ['1', '330', '55', '500']]",,,"['person', 'person']"
2008_000776,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['71', '70', '298', '333'], ['393', '60', '426', '151'], ['341', '81', '359', '132'], ['320', '83', '335', '130'], ['309', '83', '324', '129'], ['356', '88', '365', '124'], ['294', '85', '307', '140'], ['280', '89', '296', '143'], ['386', '77', '398', '130'], ['380', '77', '392', '125'], ['367', '79', '378', '121']]",,,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']"
2010_004597,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[['497', '353', '370', '78'], ['396', '286', '186', '68'], ['324', '239', '144', '73'], ['477', '122', '375', '126'], ['288', '88', '375', '112'], ['141', '67', '283', '101'], ['140', '39', '182', '75']]",,,"['person', 'person', 'person', 'diningtable', 'person', 'person', 'person']"
2012_000434,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['246', '181', '328', '168'], ['280', '237', '324', '226']]",,,"['person', 'person']"
2010_004239,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['499', '1', '431', '112'], ['128', '1', '315', '72']]",,,"['car', 'car']"
2008_005724,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['86', '82', '333', '363'], ['1', '215', '333', '500']]",,,"['bird', 'bird']"
2012_000556,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['407', '179', '254', '44']]",,,['person']
2011_003422,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['259', '162', '387', '159'], ['373', '268', '392', '88']]",,,"['person', 'person']"
2009_000237,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['471', '207', '375', '202'], ['386', '210', '373', '20'], ['137', '85', '272', '174'], ['144', '84', '249', '115'], ['157', '127', '209', '119'], ['157', '131', '228', '159']]",,,"['bicycle', 'person', 'bicycle', 'person', 'person', 'bicycle']"
2011_002811,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['257', '53', '431', '152'], ['214', '52', '404', '7']]",,,"['bicycle', 'person']"
2009_000898,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['270', '152', '497', '252']]",,,['bird']
2012_001647,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['474', '56', '463', '58']]",,,['person']
2010_001555,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['459', '1', '340', '23']]",,,['cat']
2012_001102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['430', '108', '375', '51']]",,,['person']
2008_004554,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[['288', '105', '360', '175'], ['236', '92', '301', '186']]",,,"['motorbike', 'person']"
2012_003996,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['304', '1', '500', '141']]",,,['person']
2010_000927,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[['477', '17', '340', '9']]",,,['motorbike']
2011_006226,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['345', '199', '324', '203'], ['200', '70', '324', '189'], ['31', '1', '221', '155'], ['226', '195', '182', '128'], ['106', '57', '189', '124'], ['273', '236', '164', '115']]",,,"['person', 'person', 'person', 'person', 'person', 'person']"
2011_004377,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['181', '41', '311', '158'], ['418', '311', '310', '137']]",,,"['person', 'person']"
2010_001237,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['367', '1', '322', '20']]",,,['dog']
2008_002728,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['87', '22', '406', '284'], ['202', '37', '351', '208']]",,,"['person', 'person']"
2008_002783,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['185', '81', '294', '203']]",,,['person']
2008_001023,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[['251', '109', '500', '374'], ['1', '31', '338', '375']]",,,"['person', 'person']"
2010_003648,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['378', '196', '293', '81']]",,,['bird']
2010_000786,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[['376', '350', '323', '259'], ['343', '316', '325', '259'], ['500', '1', '274', '180']]",,,"['person', 'person', 'train']"
